area_band,n
0-10m2,16
10-20m2,4641
20-30m2,8085
30-40m2,2738
40-50m2,2797
50-60m2,1997
60-70m2,1066
70-80m2,474
80-90m2,297
90-100m2,121
100-110m2,30
110-120m2,6
120-130m2,16
130-140m2,5
140-150m2,8
150-160m2,1
160-170m2,2
170-180m2,0
180-190m2,0
190-200m2,0
200-210m2,1
210-220m2,0
220-230m2,0
230-240m2,0
240-250m2,0
250-260m2,0
260-270m2,0
270-280m2,0
280-290m2,0
290-300m2,0
300-310m2,0
310-320m2,0
320-330m2,0
330-340m2,0
340-350m2,0
350-360m2,0
360-370m2,0
370-380m2,0
380-390m2,0
390-400m2,0
400-410m2,0
410-420m2,1
420-430m2,0
430-440m2,0
440-450m2,0
450-460m2,0
460-470m2,0
470-480m2,0
480-490m2,0
490-500m2,2
500-510m2,0
510-520m2,0
520-530m2,0
530-540m2,0
540-550m2,0
550-560m2,0
560-570m2,0
570-580m2,0
580-590m2,0
590-600m2,0
600-610m2,0
610-620m2,0
620-630m2,0
630-640m2,0
640-650m2,0
650-660m2,0
660-670m2,0
670-680m2,0
680-690m2,0
690-700m2,0
700-710m2,0
710-720m2,0
720-730m2,0
730-740m2,0
740-750m2,0
750-760m2,0
760-770m2,0
770-780m2,0
780-790m2,0
790-800m2,0
800-810m2,0
810-820m2,0
820-830m2,0
830-840m2,0
840-850m2,0
850-860m2,0
860-870m2,0
870-880m2,0
880-890m2,0
890-900m2,0
900-910m2,0
910-920m2,0
920-930m2,0
930-940m2,0
940-950m2,1
