age_band,n,mean,median,mode_values,mode_tie_count,mode_frequency,min,q1,q3,max,selected_stat,selected_value,selected_value_issue
0-5y,2927,28.400409976084728,13.0,0,1,443,0.0,4.0,37.0,1259.0,median,13.0,
5-10y,2749,25.368133866860678,13.0,0,1,441,0.0,3.0,33.0,808.0,median,13.0,
10-15y,2796,25.82331902718169,8.0,0,1,1005,0.0,0.0,33.0,984.0,median,8.0,
15-20y,2705,34.5452865064695,17.0,0,1,463,0.0,4.0,45.0,1027.0,median,17.0,
20-25y,1940,48.702577319587625,24.0,0,1,173,0.0,7.0,63.0,1438.0,median,24.0,
25-30y,2467,80.0680989055533,41.0,6,1,91,0.0,14.0,94.0,1475.0,median,41.0,
30-35y,3485,81.11305595408895,43.0,6,1,118,0.0,13.0,95.0,1331.0,median,43.0,
35-40y,1553,75.16226658081133,41.0,6,1,63,0.0,13.0,92.0,1494.0,median,41.0,
40-45y,491,93.16293279022403,49.0,6|13,2,18,0.0,16.0,105.5,1401.0,median,49.0,
45-50y,233,78.27038626609442,39.0,5|6,2,8,0.0,13.0,93.0,861.0,median,39.0,
50-55y,97,73.77319587628865,45.0,5,1,7,0.0,11.0,97.0,878.0,median,45.0,
55-60y,22,29.318181818181817,20.0,6|20|23|62,4,2,1.0,6.5,54.25,86.0,median,20.0,
60-65y,3,261.6666666666667,146.0,7|146|632,3,1,7.0,76.5,389.0,632.0,median,146.0,
65-70y,9,53.22222222222222,13.0,1,1,2,0.0,1.0,74.0,269.0,median,13.0,
