area_band,n,mean,median,mode_values,mode_tie_count,mode_frequency,min,q1,q3,max,selected_stat,selected_value,selected_value_issue
0-10m2,16,114.5625,80.0,6|172,2.0,2.0,0.0,6.75,172.75,451.0,median,80.0,
10-20m2,4641,77.22710622710623,39.0,0,1.0,680.0,0.0,7.0,97.0,1475.0,median,39.0,
20-30m2,8085,45.44761904761905,19.0,0,1.0,1374.0,0.0,5.0,54.0,1494.0,median,19.0,
30-40m2,2738,44.60701241782323,22.0,0,1.0,197.0,0.0,7.0,54.0,1401.0,median,22.0,
40-50m2,2797,41.422595638183765,21.0,0,1.0,244.0,0.0,6.0,51.0,1369.0,median,21.0,
50-60m2,1997,37.728592889334,18.0,0,1.0,162.0,0.0,6.0,44.0,1438.0,median,18.0,
60-70m2,1066,31.22045028142589,14.5,0,1.0,98.0,0.0,5.0,41.0,831.0,median,14.5,
70-80m2,474,35.58227848101266,16.0,0,1.0,76.0,0.0,5.0,50.0,235.0,median,16.0,
80-90m2,297,42.26262626262626,18.0,0,1.0,40.0,0.0,5.0,45.0,1259.0,median,18.0,
90-100m2,121,50.48760330578512,32.0,0|3,2.0,6.0,0.0,12.0,82.0,242.0,median,32.0,
100-110m2,30,83.33333333333333,52.0,2|6,2.0,2.0,2.0,13.25,68.25,676.0,median,52.0,
110-120m2,6,34.0,28.5,4|15|19|38|54|74,6.0,1.0,4.0,16.0,50.0,74.0,median,28.5,
120-130m2,16,34.8125,18.0,5,1.0,3.0,1.0,5.0,44.25,190.0,median,18.0,
130-140m2,5,22.2,16.0,0|4|16|19|72,5.0,1.0,0.0,4.0,19.0,72.0,median,16.0,
140-150m2,8,34.75,24.5,0,1.0,2.0,0.0,12.0,47.75,102.0,median,24.5,
150-160m2,1,1027.0,1027.0,1027,1.0,1.0,1027.0,1027.0,1027.0,1027.0,median,1027.0,
160-170m2,2,137.0,137.0,5|269,2.0,1.0,5.0,71.0,203.0,269.0,median,137.0,
170-180m2,0,,,,,,,,,,median,,no_valid_values
180-190m2,0,,,,,,,,,,median,,no_valid_values
190-200m2,0,,,,,,,,,,median,,no_valid_values
200-210m2,1,446.0,446.0,446,1.0,1.0,446.0,446.0,446.0,446.0,median,446.0,
210-220m2,0,,,,,,,,,,median,,no_valid_values
220-230m2,0,,,,,,,,,,median,,no_valid_values
230-240m2,0,,,,,,,,,,median,,no_valid_values
240-250m2,0,,,,,,,,,,median,,no_valid_values
250-260m2,0,,,,,,,,,,median,,no_valid_values
260-270m2,0,,,,,,,,,,median,,no_valid_values
270-280m2,0,,,,,,,,,,median,,no_valid_values
280-290m2,0,,,,,,,,,,median,,no_valid_values
290-300m2,0,,,,,,,,,,median,,no_valid_values
300-310m2,0,,,,,,,,,,median,,no_valid_values
310-320m2,0,,,,,,,,,,median,,no_valid_values
320-330m2,0,,,,,,,,,,median,,no_valid_values
330-340m2,0,,,,,,,,,,median,,no_valid_values
340-350m2,0,,,,,,,,,,median,,no_valid_values
350-360m2,0,,,,,,,,,,median,,no_valid_values
360-370m2,0,,,,,,,,,,median,,no_valid_values
370-380m2,0,,,,,,,,,,median,,no_valid_values
380-390m2,0,,,,,,,,,,median,,no_valid_values
390-400m2,0,,,,,,,,,,median,,no_valid_values
400-410m2,0,,,,,,,,,,median,,no_valid_values
410-420m2,1,71.0,71.0,71,1.0,1.0,71.0,71.0,71.0,71.0,median,71.0,
420-430m2,0,,,,,,,,,,median,,no_valid_values
430-440m2,0,,,,,,,,,,median,,no_valid_values
440-450m2,0,,,,,,,,,,median,,no_valid_values
450-460m2,0,,,,,,,,,,median,,no_valid_values
460-470m2,0,,,,,,,,,,median,,no_valid_values
470-480m2,0,,,,,,,,,,median,,no_valid_values
480-490m2,0,,,,,,,,,,median,,no_valid_values
490-500m2,2,192.5,192.5,151|234,2.0,1.0,151.0,171.75,213.25,234.0,median,192.5,
500-510m2,0,,,,,,,,,,median,,no_valid_values
510-520m2,0,,,,,,,,,,median,,no_valid_values
520-530m2,0,,,,,,,,,,median,,no_valid_values
530-540m2,0,,,,,,,,,,median,,no_valid_values
540-550m2,0,,,,,,,,,,median,,no_valid_values
550-560m2,0,,,,,,,,,,median,,no_valid_values
560-570m2,0,,,,,,,,,,median,,no_valid_values
570-580m2,0,,,,,,,,,,median,,no_valid_values
580-590m2,0,,,,,,,,,,median,,no_valid_values
590-600m2,0,,,,,,,,,,median,,no_valid_values
600-610m2,0,,,,,,,,,,median,,no_valid_values
610-620m2,0,,,,,,,,,,median,,no_valid_values
620-630m2,0,,,,,,,,,,median,,no_valid_values
630-640m2,0,,,,,,,,,,median,,no_valid_values
640-650m2,0,,,,,,,,,,median,,no_valid_values
650-660m2,0,,,,,,,,,,median,,no_valid_values
660-670m2,0,,,,,,,,,,median,,no_valid_values
670-680m2,0,,,,,,,,,,median,,no_valid_values
680-690m2,0,,,,,,,,,,median,,no_valid_values
690-700m2,0,,,,,,,,,,median,,no_valid_values
700-710m2,0,,,,,,,,,,median,,no_valid_values
710-720m2,0,,,,,,,,,,median,,no_valid_values
720-730m2,0,,,,,,,,,,median,,no_valid_values
730-740m2,0,,,,,,,,,,median,,no_valid_values
740-750m2,0,,,,,,,,,,median,,no_valid_values
750-760m2,0,,,,,,,,,,median,,no_valid_values
760-770m2,0,,,,,,,,,,median,,no_valid_values
770-780m2,0,,,,,,,,,,median,,no_valid_values
780-790m2,0,,,,,,,,,,median,,no_valid_values
790-800m2,0,,,,,,,,,,median,,no_valid_values
800-810m2,0,,,,,,,,,,median,,no_valid_values
810-820m2,0,,,,,,,,,,median,,no_valid_values
820-830m2,0,,,,,,,,,,median,,no_valid_values
830-840m2,0,,,,,,,,,,median,,no_valid_values
840-850m2,0,,,,,,,,,,median,,no_valid_values
850-860m2,0,,,,,,,,,,median,,no_valid_values
860-870m2,0,,,,,,,,,,median,,no_valid_values
870-880m2,0,,,,,,,,,,median,,no_valid_values
880-890m2,0,,,,,,,,,,median,,no_valid_values
890-900m2,0,,,,,,,,,,median,,no_valid_values
900-910m2,0,,,,,,,,,,median,,no_valid_values
910-920m2,0,,,,,,,,,,median,,no_valid_values
920-930m2,0,,,,,,,,,,median,,no_valid_values
930-940m2,0,,,,,,,,,,median,,no_valid_values
940-950m2,1,151.0,151.0,151,1.0,1.0,151.0,151.0,151.0,151.0,median,151.0,
