layout,n,mean,median,mode_values,mode_tie_count,mode_frequency,min,q1,q3,max,selected_stat,selected_value,selected_value_issue
1DK,973,53.14491264131552,28.0,0,1,47,0.0,8.0,67.0,1041.0,median,28.0,
1K,9718,48.75180078205392,19.0,0,1,1965,0.0,3.0,56.75,1494.0,median,19.0,
1LDK,2544,30.149764150943398,14.0,0,1,240,0.0,5.0,38.0,1401.0,median,14.0,
1R,3236,74.13906056860321,40.0,0,1,149,0.0,13.0,90.0,1475.0,median,40.0,
1SDK,5,26.6,29.0,13|14|29|37|40,5,1,13.0,14.0,37.0,40.0,median,29.0,
1SK,71,36.57746478873239,19.0,3,1,7,0.0,6.0,51.0,367.0,median,19.0,
1SLDK,113,26.699115044247787,17.0,0|2|9,3,7,0.0,6.0,37.0,137.0,median,17.0,
2DK,1492,64.05428954423593,35.0,0,1,89,0.0,12.0,77.25,1353.0,median,35.0,
2K,258,85.97674418604652,44.0,5,1,12,0.0,13.0,99.25,861.0,median,44.0,
2LDK,2014,31.24925521350546,15.0,0,1,233,0.0,5.0,38.0,1438.0,median,15.0,
2LK,4,6.5,6.5,6|7,2,2,6.0,6.0,7.0,7.0,median,6.5,
2SDK,13,25.923076923076923,16.0,0|5|63,3,2,0.0,5.0,51.0,72.0,median,16.0,
2SLDK,93,34.02150537634409,20.0,0,1,11,0.0,5.0,42.0,216.0,median,20.0,
3DK,541,54.049907578558226,30.0,13,1,22,0.0,12.0,70.0,858.0,median,30.0,
3K,39,115.33333333333333,49.0,393,1,5,0.0,32.0,140.0,403.0,median,49.0,
3LDK,837,32.97849462365591,15.0,0,1,102,0.0,5.0,45.0,293.0,median,15.0,
3SDK,16,31.875,28.0,3|48,2,2,1.0,5.75,48.0,98.0,median,28.0,
3SLDK,36,40.55555555555556,20.0,6,1,4,1.0,7.75,54.5,194.0,median,20.0,
4DK,72,65.20833333333333,41.5,6,1,4,0.0,14.5,93.0,258.0,median,41.5,
4K,1,23.0,23.0,23,1,1,23.0,23.0,23.0,23.0,median,23.0,
4LDK,123,46.63414634146341,31.0,0,1,10,0.0,11.5,61.5,402.0,median,31.0,
4SDK,5,40.6,12.0,3|4|12|89|95,5,1,3.0,4.0,89.0,95.0,median,12.0,
4SLDK,6,27.666666666666668,5.0,5,1,2,3.0,4.25,56.75,75.0,median,5.0,
5DK,10,47.8,41.5,18,1,2,6.0,18.0,69.5,129.0,median,41.5,
5LDK,7,70.57142857142857,36.0,6|14|20|36|72|77|269,7,1,6.0,17.0,74.5,269.0,median,36.0,
5SDK,1,15.0,15.0,15,1,1,15.0,15.0,15.0,15.0,median,15.0,
5SLDK,2,17.5,17.5,16|19,2,1,16.0,16.75,18.25,19.0,median,17.5,
6DK,2,101.0,101.0,18|184,2,1,18.0,59.5,142.5,184.0,median,101.0,
6K,1,62.0,62.0,62,1,1,62.0,62.0,62.0,62.0,median,62.0,
6LDK,1,3.0,3.0,3,1,1,3.0,3.0,3.0,3.0,median,3.0,
6SDK,2,43.5,43.5,38|49,2,1,38.0,40.75,46.25,49.0,median,43.5,
6SLDK,2,225.5,225.5,5|446,2,1,5.0,115.25,335.75,446.0,median,225.5,
