rent_band,n,mean,median,mode_values,mode_tie_count,mode_frequency,min,q1,q3,max,selected_stat,selected_value,selected_value_issue
0-20k,28,163.35714285714286,111.0,6|27|64|83|111,5.0,2.0,6.0,33.75,252.5,591.0,median,111.0,
20-40k,836,120.61363636363636,72.5,6,1.0,21.0,0.0,27.0,156.25,1475.0,median,72.5,
40-60k,5032,82.10810810810811,43.0,6,1.0,182.0,0.0,14.0,100.0,1494.0,median,43.0,
60-80k,7562,38.12007405448294,14.0,0,1.0,1803.0,0.0,1.0,46.0,1401.0,median,14.0,
80-100k,3848,38.271829521829524,21.0,0,1.0,363.0,0.0,6.0,50.0,1353.0,median,21.0,
100-120k,2114,31.920529801324502,16.0,0,1.0,196.0,0.0,6.0,38.75,1438.0,median,16.0,
120-140k,1392,29.341954022988507,15.0,0,1.0,137.0,0.0,5.75,38.0,347.0,median,15.0,
140-160k,719,30.13212795549374,13.0,0,1.0,103.0,0.0,4.0,36.5,842.0,median,13.0,
160-180k,349,38.730659025787965,13.0,0,1.0,42.0,0.0,4.0,40.0,831.0,median,13.0,
180-200k,170,35.85294117647059,13.0,0,1.0,38.0,0.0,1.0,46.25,402.0,median,13.0,
200-220k,60,42.56666666666667,20.0,6,1.0,6.0,0.0,6.0,85.0,146.0,median,20.0,
220-240k,84,51.404761904761905,44.5,6,1.0,5.0,0.0,13.0,78.25,229.0,median,44.5,
240-260k,43,56.25581395348837,43.0,6|8|10|22|27|55,6.0,2.0,0.0,12.0,77.5,269.0,median,43.0,
260-280k,27,21.25925925925926,13.0,12,1.0,4.0,0.0,9.0,29.5,67.0,median,13.0,
280-300k,4,30.0,21.5,1|13|30|76,4.0,1.0,1.0,10.0,41.5,76.0,median,21.5,
300-320k,2,111.0,111.0,32|190,2.0,1.0,32.0,71.5,150.5,190.0,median,111.0,
320-340k,10,30.1,21.0,0,1.0,2.0,0.0,5.25,45.25,99.0,median,21.0,
340-360k,7,79.71428571428571,16.0,3|5|12|16|23|53|446,7.0,1.0,3.0,8.5,38.0,446.0,median,16.0,
360-380k,0,,,,,,,,,,median,,no_valid_values
380-400k,0,,,,,,,,,,median,,no_valid_values
400-420k,0,,,,,,,,,,median,,no_valid_values
420-440k,0,,,,,,,,,,median,,no_valid_values
440-460k,3,61.333333333333336,5.0,5,1.0,2.0,5.0,5.0,89.5,174.0,median,5.0,
460-480k,0,,,,,,,,,,median,,no_valid_values
480-500k,1,676.0,676.0,676,1.0,1.0,676.0,676.0,676.0,676.0,median,676.0,
500-520k,0,,,,,,,,,,median,,no_valid_values
520-540k,0,,,,,,,,,,median,,no_valid_values
540-560k,0,,,,,,,,,,median,,no_valid_values
560-580k,0,,,,,,,,,,median,,no_valid_values
580-600k,1,40.0,40.0,40,1.0,1.0,40.0,40.0,40.0,40.0,median,40.0,
600-620k,0,,,,,,,,,,median,,no_valid_values
620-640k,0,,,,,,,,,,median,,no_valid_values
