area_band,rent_band,n,mean,median,mode_values,selected_stat,selected_value,selected_value_issue
0-10m2,20-40k,6,126.33333333333333,109.0,49|73|87|131|175|243,median,109.0,
0-10m2,40-60k,8,133.0,100.0,6|172,median,100.0,
0-10m2,120-140k,2,5.5,5.5,4|7,median,5.5,
10-20m2,20-40k,656,121.6951219512195,73.5,6,median,73.5,
10-20m2,40-60k,2610,88.24061302681993,48.0,0,median,48.0,
10-20m2,60-80k,1344,34.78720238095238,5.0,0,median,5.0,
10-20m2,80-100k,31,48.935483870967744,37.0,1|4,median,37.0,
20-30m2,20-40k,174,116.33908045977012,65.5,7,median,65.5,
20-30m2,40-60k,2225,73.1276404494382,38.0,6,median,38.0,
20-30m2,60-80k,4653,31.49043627767032,12.0,0,median,12.0,
20-30m2,80-100k,1030,36.83980582524272,23.0,0,median,23.0,
20-30m2,100-120k,2,10.0,10.0,7|13,median,10.0,
20-30m2,120-140k,1,2.0,2.0,2,median,2.0,
30-40m2,40-60k,147,112.93197278911565,59.0,13,median,59.0,
30-40m2,60-80k,988,52.39878542510122,25.0,0,median,25.0,
30-40m2,80-100k,1223,33.979558462796405,19.0,0,median,19.0,
30-40m2,100-120k,281,31.391459074733095,18.0,2,median,18.0,
30-40m2,120-140k,88,35.34090909090909,21.0,0,median,21.0,
30-40m2,140-160k,11,25.0,19.0,19,median,19.0,
40-50m2,40-60k,39,59.07692307692308,46.0,19,median,46.0,
40-50m2,60-80k,504,73.21825396825396,47.5,13|27,median,47.5,
40-50m2,80-100k,1011,39.01483679525222,20.0,0,median,20.0,
40-50m2,100-120k,851,31.975323149236193,16.0,0,median,16.0,
40-50m2,120-140k,259,23.0,13.0,0,median,13.0,
40-50m2,140-160k,104,31.625,12.0,0,median,12.0,
40-50m2,160-180k,23,25.130434782608695,12.0,12,median,12.0,
40-50m2,180-200k,4,38.75,43.0,43,median,43.0,
40-50m2,200-220k,1,6.0,6.0,6,median,6.0,
40-50m2,260-280k,1,13.0,13.0,13,median,13.0,
50-60m2,40-60k,3,60.666666666666664,33.0,3|33|146,median,33.0,
50-60m2,60-80k,70,86.74285714285715,65.0,393,median,65.0,
50-60m2,80-100k,455,47.49230769230769,27.0,6,median,27.0,
50-60m2,100-120k,678,30.55604719764012,14.0,0,median,14.0,
50-60m2,120-140k,455,30.82857142857143,16.0,0,median,16.0,
50-60m2,140-160k,190,27.736842105263158,12.0,6,median,12.0,
50-60m2,160-180k,91,61.7032967032967,28.0,0,median,28.0,
50-60m2,180-200k,31,28.451612903225808,13.0,0,median,13.0,
50-60m2,200-220k,8,54.375,49.5,6,median,49.5,
50-60m2,220-240k,3,20.666666666666668,7.0,4|7|51,median,7.0,
50-60m2,240-260k,5,65.4,94.0,18|20|94|95|100,median,94.0,
50-60m2,260-280k,8,18.25,11.0,0|7|9|10|12|30|37|41,median,11.0,
60-70m2,60-80k,3,80.33333333333333,70.0,66|70|105,median,70.0,
60-70m2,80-100k,85,57.082352941176474,39.0,1|23,median,39.0,
60-70m2,100-120k,245,31.355102040816327,16.0,0,median,16.0,
60-70m2,120-140k,438,25.863013698630137,13.0,0,median,13.0,
60-70m2,140-160k,164,28.128048780487806,13.0,0,median,13.0,
60-70m2,160-180k,86,31.546511627906977,7.0,0,median,7.0,
60-70m2,180-200k,17,60.8235294117647,34.0,6|8|34,median,34.0,
60-70m2,200-220k,4,13.75,17.0,1|15|19|20,median,17.0,
60-70m2,220-240k,12,30.583333333333332,19.0,19,median,19.0,
60-70m2,240-260k,3,81.66666666666667,71.0,27|71|147,median,71.0,
60-70m2,260-280k,8,18.5,21.5,6,median,21.5,
60-70m2,340-360k,1,3.0,3.0,3,median,3.0,
70-80m2,80-100k,13,26.615384615384617,23.0,6|48,median,23.0,
70-80m2,100-120k,41,59.707317073170735,33.0,0,median,33.0,
70-80m2,120-140k,106,42.64150943396226,22.5,0,median,22.5,
70-80m2,140-160k,149,25.516778523489933,10.0,0,median,10.0,
70-80m2,160-180k,57,26.140350877192983,9.0,6,median,9.0,
70-80m2,180-200k,38,20.55263157894737,11.0,0,median,11.0,
70-80m2,200-220k,18,43.94444444444444,20.0,0|2|6|20,median,20.0,
70-80m2,220-240k,24,69.20833333333333,74.0,12|14|73|78|165,median,74.0,
70-80m2,240-260k,20,36.1,27.0,6,median,27.0,
70-80m2,260-280k,3,47.333333333333336,52.0,23|52|67,median,52.0,
70-80m2,280-300k,3,39.666666666666664,30.0,13|30|76,median,30.0,
70-80m2,300-320k,1,32.0,32.0,32,median,32.0,
70-80m2,340-360k,1,12.0,12.0,12,median,12.0,
80-90m2,0-20k,1,33.0,33.0,33,median,33.0,
80-90m2,100-120k,15,37.4,16.0,0,median,16.0,
80-90m2,120-140k,25,34.2,25.0,1|6|13|22,median,25.0,
80-90m2,140-160k,72,53.236111111111114,26.0,0,median,26.0,
80-90m2,160-180k,52,23.75,11.0,0,median,11.0,
80-90m2,180-200k,44,26.295454545454547,2.5,0,median,2.5,
80-90m2,200-220k,8,12.25,10.0,11,median,10.0,
80-90m2,220-240k,25,40.32,20.0,20,median,20.0,
80-90m2,240-260k,8,48.375,46.5,10|13|27|45|48|55|64|125,median,46.5,
80-90m2,260-280k,5,13.0,12.0,12,median,12.0,
80-90m2,280-300k,1,1.0,1.0,1,median,1.0,
80-90m2,320-340k,4,45.5,37.0,9|24|50|99,median,37.0,
80-90m2,340-360k,2,34.5,34.5,16|53,median,34.5,
80-90m2,640-660k,35,87.65714285714286,25.0,25,median,25.0,
90-100m2,100-120k,1,20.0,20.0,20,median,20.0,
90-100m2,120-140k,15,60.8,41.0,12|13,median,41.0,
90-100m2,140-160k,17,17.352941176470587,12.0,12,median,12.0,
90-100m2,160-180k,34,49.05882352941177,25.0,0,median,25.0,
90-100m2,180-200k,22,54.54545454545455,41.0,34,median,41.0,
90-100m2,200-220k,16,63.75,58.5,103,median,58.5,
90-100m2,220-240k,12,62.083333333333336,74.5,0|4|21|25|45|69|80|82|87|108|111|113,median,74.5,
90-100m2,240-260k,4,62.25,23.5,8|22|25|194,median,23.5,
100-110m2,120-140k,2,25.0,25.0,14|36,median,25.0,
100-110m2,140-160k,3,14.666666666666666,18.0,6|18|20,median,18.0,
100-110m2,160-180k,4,40.5,41.5,2|13|70|77,median,41.5,
100-110m2,180-200k,7,86.0,40.0,3|6|10|40|61|80|402,median,40.0,
100-110m2,200-220k,1,53.0,53.0,53,median,53.0,
100-110m2,220-240k,7,65.57142857142857,59.0,23|54|57|59|60|63|143,median,59.0,
100-110m2,240-260k,2,110.0,110.0,2|218,median,110.0,
100-110m2,260-280k,2,30.0,30.0,9|51,median,30.0,
100-110m2,440-460k,1,174.0,174.0,174,median,174.0,
100-110m2,480-500k,1,676.0,676.0,676,median,676.0,
110-120m2,140-160k,3,29.333333333333332,19.0,15|19|54,median,19.0,
110-120m2,160-180k,1,38.0,38.0,38,median,38.0,
110-120m2,180-200k,1,74.0,74.0,74,median,74.0,
110-120m2,200-220k,1,4.0,4.0,4,median,4.0,
120-130m2,140-160k,6,26.0,26.0,3|12|18|34|44|45,median,26.0,
120-130m2,160-180k,1,18.0,18.0,18,median,18.0,
120-130m2,180-200k,3,29.666666666666668,12.0,1|12|76,median,12.0,
120-130m2,200-220k,1,5.0,5.0,5,median,5.0,
120-130m2,300-320k,1,190.0,190.0,190,median,190.0,
120-130m2,320-340k,1,66.0,66.0,66,median,66.0,
120-130m2,340-360k,1,23.0,23.0,23,median,23.0,
120-130m2,440-460k,2,5.0,5.0,5,median,5.0,
130-140m2,120-140k,1,72.0,72.0,72,median,72.0,
130-140m2,180-200k,1,19.0,19.0,19,median,19.0,
130-140m2,220-240k,1,16.0,16.0,16,median,16.0,
130-140m2,320-340k,2,2.0,2.0,0|4,median,2.0,
140-150m2,180-200k,2,51.0,51.0,0|102,median,51.0,
140-150m2,200-220k,2,43.5,43.5,16|71,median,43.5,
140-150m2,320-340k,3,16.333333333333332,18.0,0|18|31,median,18.0,
140-150m2,580-600k,1,40.0,40.0,40,median,40.0,
150-160m2,820-840k,1,1027.0,1027.0,1027,median,1027.0,
160-170m2,240-260k,1,269.0,269.0,269,median,269.0,
160-170m2,340-360k,1,5.0,5.0,5,median,5.0,
200-210m2,340-360k,1,446.0,446.0,446,median,446.0,
410-420m2,1500-1520k,1,71.0,71.0,71,median,71.0,
490-500m2,1640-1660k,1,234.0,234.0,234,median,234.0,
490-500m2,2100-2120k,1,151.0,151.0,151,median,151.0,
940-950m2,3780-3800k,1,151.0,151.0,151,median,151.0,
