age_band,layout,n,mean,median,std,q1,q3,iqr
0-5年,1DK,145,63.93103448275862,37.0,97.6847007790039,15.0,77.0,62.0
0-5年,1K,1091,26.606782768102658,12.0,78.26900396373257,2.0,31.0,29.0
0-5年,1LDK,626,23.51916932907348,12.0,45.10925882730597,4.0,30.75,26.75
0-5年,1R,441,40.945578231292515,20.0,57.23704088893578,6.0,56.0,50.0
0-5年,1SDK,0,,,,,,
0-5年,1SK,5,20.8,4.0,24.38647165950827,3.0,47.0,44.0
0-5年,1SLDK,18,34.333333333333336,30.0,25.747644095539854,19.0,48.75,29.75
0-5年,2DK,17,9.941176470588236,5.0,9.666117293381648,2.0,14.0,12.0
0-5年,2K,1,67.0,67.0,0.0,67.0,67.0,0.0
0-5年,2LDK,503,20.906560636182903,9.0,30.381197279030523,2.0,27.0,25.0
0-5年,2SDK,0,,,,,,
0-5年,2SLDK,28,20.607142857142858,18.0,23.906204503363004,0.0,27.0,27.0
0-5年,3DK,0,,,,,,
0-5年,3K,0,,,,,,
0-5年,3LDK,139,27.1294964028777,12.0,32.876103504348116,5.0,45.0,40.0
0-5年,3SDK,0,,,,,,
0-5年,3SLDK,1,103.0,103.0,0.0,103.0,103.0,0.0
0-5年,4DK,0,,,,,,
0-5年,4K,0,,,,,,
0-5年,4LDK,12,28.666666666666668,13.5,30.458118288839998,12.0,32.25,20.25
0-5年,4SDK,0,,,,,,
0-5年,4SLDK,0,,,,,,
0-5年,5DK,0,,,,,,
0-5年,5LDK,0,,,,,,
0-5年,5SDK,0,,,,,,
0-5年,5SLDK,1,16.0,16.0,0.0,16.0,16.0,0.0
0-5年,6DK,0,,,,,,
0-5年,6K,0,,,,,,
0-5年,6LDK,0,,,,,,
0-5年,6SDK,0,,,,,,
0-5年,6SLDK,0,,,,,,
5-10年,1DK,75,27.706666666666667,23.0,27.858606964131965,8.5,34.5,26.0
5-10年,1K,1139,20.123792800702372,8.0,37.80761987451286,0.0,28.0,28.0
5-10年,1LDK,899,21.763070077864295,13.0,33.4294879019733,5.0,30.0,25.0
5-10年,1R,299,49.83946488294314,18.0,81.82831704766772,3.0,64.5,61.5
5-10年,1SDK,0,,,,,,
5-10年,1SK,16,39.25,36.0,33.08876949459842,12.0,59.75,47.75
5-10年,1SLDK,38,22.342105263157894,12.5,20.536422904643103,7.25,37.0,29.75
5-10年,2DK,14,31.785714285714285,13.5,56.20043603913595,7.75,29.0,21.25
5-10年,2K,2,3.5,3.5,0.7071067811865476,3.25,3.75,0.5
5-10年,2LDK,406,19.911330049261085,9.5,45.47995917025252,2.0,26.0,24.0
5-10年,2SDK,0,,,,,,
5-10年,2SLDK,16,20.9375,11.0,26.64199379425897,4.25,26.0,21.75
5-10年,3DK,0,,,,,,
5-10年,3K,0,,,,,,
5-10年,3LDK,49,18.428571428571427,8.0,28.970531004223353,2.0,17.0,15.0
5-10年,3SDK,0,,,,,,
5-10年,3SLDK,9,82.66666666666667,80.0,62.313722405261586,22.0,125.0,103.0
5-10年,4DK,0,,,,,,
5-10年,4K,0,,,,,,
5-10年,4LDK,35,51.82857142857143,32.0,53.424210040836314,14.0,66.0,52.0
5-10年,4SDK,0,,,,,,
5-10年,4SLDK,1,3.0,3.0,0.0,3.0,3.0,0.0
5-10年,5DK,0,,,,,,
5-10年,5LDK,0,,,,,,
5-10年,5SDK,0,,,,,,
5-10年,5SLDK,0,,,,,,
5-10年,6DK,0,,,,,,
5-10年,6K,0,,,,,,
5-10年,6LDK,0,,,,,,
5-10年,6SDK,0,,,,,,
5-10年,6SLDK,0,,,,,,
10-15年,1DK,92,35.72826086956522,18.5,39.838438355043,6.75,51.0,44.25
10-15年,1K,2086,23.43240651965484,0.0,89.1131201716328,0.0,22.0,22.0
10-15年,1LDK,463,39.77537796976242,14.0,121.56784790200763,4.0,42.0,38.0
10-15年,1R,154,46.85064935064935,21.0,92.4909310140028,9.25,54.5,45.25
10-15年,1SDK,4,29.75,33.0,12.093386622447824,25.0,37.75,12.75
10-15年,1SK,16,23.1875,18.0,17.135611067792905,12.25,27.0,14.75
10-15年,1SLDK,22,29.59090909090909,23.0,29.79718601432515,6.0,44.5,38.5
10-15年,2DK,14,37.07142857142857,12.0,56.709060849370296,4.5,44.5,40.0
10-15年,2K,4,17.25,15.0,6.652067347825035,14.25,18.0,3.75
10-15年,2LDK,163,39.49693251533742,13.0,159.87095004892163,3.5,40.5,37.0
10-15年,2SDK,0,,,,,,
10-15年,2SLDK,10,24.1,12.5,32.09863271577502,8.5,23.75,15.25
10-15年,3DK,0,,,,,,
10-15年,3K,0,,,,,,
10-15年,3LDK,53,39.471698113207545,22.0,38.84367277136201,10.0,51.0,41.0
10-15年,3SDK,0,,,,,,
10-15年,3SLDK,5,54.2,52.0,36.95537849894113,23.0,90.0,67.0
10-15年,4DK,4,57.75,65.5,37.40209441550923,45.75,77.5,31.75
10-15年,4K,0,,,,,,
10-15年,4LDK,1,51.0,51.0,0.0,51.0,51.0,0.0
10-15年,4SDK,0,,,,,,
10-15年,4SLDK,0,,,,,,
10-15年,5DK,0,,,,,,
10-15年,5LDK,0,,,,,,
10-15年,5SDK,0,,,,,,
10-15年,5SLDK,0,,,,,,
10-15年,6DK,0,,,,,,
10-15年,6K,0,,,,,,
10-15年,6LDK,0,,,,,,
10-15年,6SDK,0,,,,,,
10-15年,6SLDK,0,,,,,,
15-20年,1DK,71,24.746478873239436,6.0,52.07157664760502,2.0,27.0,25.0
15-20年,1K,2097,34.5793991416309,14.0,67.15559944810423,2.0,43.0,41.0
15-20年,1LDK,158,37.21518987341772,14.0,127.45956480201028,6.0,35.75,29.75
15-20年,1R,199,59.57286432160804,27.0,148.0629250183399,11.0,62.0,51.0
15-20年,1SDK,0,,,,,,
15-20年,1SK,24,22.708333333333332,13.5,23.6633621902072,3.75,32.25,28.5
15-20年,1SLDK,17,18.941176470588236,16.0,17.918114396593516,5.0,22.0,17.0
15-20年,2DK,72,38.625,23.0,37.97643357455059,13.0,61.25,48.25
15-20年,2K,12,46.0,41.5,29.409336798185212,30.75,59.75,29.0
15-20年,2LDK,200,55.055,17.0,123.30181940402059,4.0,41.0,37.0
15-20年,2SDK,0,,,,,,
15-20年,2SLDK,11,31.727272727272727,20.0,31.73985163510034,5.5,56.5,51.0
15-20年,3DK,3,73.0,51.0,45.21061822182926,47.0,88.0,41.0
15-20年,3K,0,,,,,,
15-20年,3LDK,38,34.3421052631579,12.0,63.861876423363455,5.25,33.0,27.75
15-20年,3SDK,0,,,,,,
15-20年,3SLDK,0,,,,,,
15-20年,4DK,0,,,,,,
15-20年,4K,0,,,,,,
