掲載開始月,件数,掲載期間平均日数,掲載期間中央値,掲載期間25パーセンタイル,掲載期間75パーセンタイル,7日以内終了率,14日以内終了率,30日以内終了率
3,3091,43.0,14.0,4.0,47.0,0.3724,0.5089,0.6781
2,2335,45.67,14.0,2.0,38.0,0.3687,0.5092,0.6955
1,2322,39.87,10.0,3.0,36.0,0.4328,0.565,0.7123
6,2127,72.62,27.0,8.0,79.5,0.2454,0.3653,0.5369
4,1982,56.91,27.5,8.0,62.0,0.2487,0.3527,0.5232
11,1954,51.38,21.0,6.0,64.75,0.3086,0.4406,0.566
10,1932,106.25,30.0,7.0,78.0,0.2521,0.3556,0.501
7,1890,66.44,27.0,6.0,79.75,0.282,0.381,0.5217
5,1873,54.25,22.0,6.0,50.0,0.2718,0.402,0.6086
12,1841,53.31,23.0,5.0,55.0,0.3047,0.3965,0.5812
9,1791,55.95,25.0,5.0,75.0,0.3037,0.3936,0.5355
8,1470,68.01,32.0,8.25,89.75,0.2259,0.3333,0.485
