駅名,駅徒歩区分,件数,掲載期間平均日数,掲載期間中央値,掲載期間25パーセンタイル,掲載期間75パーセンタイル,7日以内終了率,14日以内終了率,30日以内終了率
国分寺,5分以内,4977,61.91,23.0,7.0,59.0,0.265,0.3854,0.5777
国分寺,6〜10分,3835,66.69,24.0,6.0,63.0,0.2709,0.3948,0.5671
国分寺,11〜15分,3077,58.47,17.0,4.0,54.0,0.3568,0.4703,0.6237
西国分寺,6〜10分,1613,53.62,20.0,6.0,58.0,0.2926,0.4253,0.584
国立,11〜15分,1523,48.57,19.0,5.0,55.0,0.3132,0.4452,0.6074
恋ヶ窪,6〜10分,1463,62.54,27.0,7.0,71.0,0.2652,0.3732,0.529
国立,6〜10分,1176,65.41,20.0,5.75,56.0,0.3078,0.4328,0.5816
西国分寺,11〜15分,1043,43.95,18.0,4.0,55.0,0.3557,0.4679,0.6012
恋ヶ窪,5分以内,937,49.4,16.0,4.0,50.0,0.3479,0.476,0.6467
西国分寺,5分以内,816,49.62,12.0,0.0,52.0,0.4559,0.5441,0.6691
国分寺,16〜20分,753,29.2,1.0,0.0,24.0,0.6189,0.6866,0.7756
国立,5分以内,732,56.07,21.0,6.0,56.0,0.2964,0.4221,0.582
国立,16〜20分,704,74.21,29.0,7.0,86.0,0.2585,0.3878,0.5128
恋ヶ窪,11〜15分,669,49.11,23.0,4.0,64.0,0.3274,0.4006,0.5605
国立,21分以上,292,80.1,41.0,13.0,89.5,0.1747,0.2671,0.4486
西国分寺,16〜20分,184,41.38,23.5,7.0,46.25,0.2609,0.4239,0.5978
鷹の台,16〜20分,182,63.52,50.0,18.25,83.75,0.1374,0.2088,0.3681
鷹の台,6〜10分,120,49.38,24.0,9.75,46.0,0.2,0.3417,0.625
立川,5分以内,86,46.99,10.0,3.0,46.0,0.4535,0.6163,0.686
鷹の台,11〜15分,66,63.2,38.5,10.5,96.75,0.2273,0.303,0.4545
恋ヶ窪,16〜20分,65,64.89,27.0,7.0,85.0,0.2615,0.3846,0.5538
泉体育館,16〜20分,58,43.14,17.5,6.0,51.5,0.2759,0.4655,0.6379
泉体育館,21分以上,36,58.14,27.5,11.25,80.0,0.1667,0.3889,0.5278
一橋学園,16〜20分,33,29.79,20.0,5.0,39.0,0.3333,0.4545,0.6364
