間取り,家賃帯,件数,掲載期間平均日数,掲載期間中央値,掲載期間25パーセンタイル,掲載期間75パーセンタイル,7日以内終了率,14日以内終了率,30日以内終了率
K,5〜7万円,5181,49.58,18.0,4.0,53.0,0.3432,0.4594,0.6153
K,7〜9万円,3590,28.5,8.0,0.0,31.0,0.4969,0.6039,0.7457
LDK,9〜12万円,2448,34.48,15.0,5.0,37.0,0.3493,0.4975,0.6961
K,5万円以下,1992,122.09,58.0,17.0,136.0,0.1486,0.2274,0.3624
R,5万円以下,1639,111.26,54.0,18.0,120.5,0.1373,0.2227,0.3685
LDK,12〜15万円,1597,34.49,13.0,4.0,33.0,0.3701,0.5379,0.732
DK,7〜9万円,1362,69.35,33.0,9.0,78.0,0.2254,0.3289,0.4816
R,5〜7万円,1165,82.41,39.0,12.0,87.0,0.1966,0.291,0.4335
DK,9〜12万円,972,54.21,24.0,6.0,60.0,0.2757,0.3858,0.5864
LDK,7〜9万円,926,52.4,19.5,7.0,51.0,0.2678,0.4406,0.6058
DK,5〜7万円,812,96.64,46.0,15.0,109.0,0.1502,0.2438,0.4002
LDK,15〜20万円,785,32.85,13.0,3.0,38.0,0.3898,0.5312,0.7045
R,7〜9万円,600,41.09,19.0,5.0,51.25,0.3283,0.455,0.6217
K,9〜12万円,246,44.08,23.0,8.25,49.75,0.2276,0.3862,0.5772
LDK,20万円超,199,47.78,23.0,8.5,63.5,0.2312,0.3819,0.5528
DK,12〜15万円,186,46.12,25.5,7.0,64.75,0.2634,0.3656,0.5645
R,9〜12万円,160,32.49,17.0,6.0,34.0,0.2875,0.4625,0.7188
DK,5万円以下,108,134.09,43.5,12.75,109.5,0.1944,0.3148,0.3981
SLDK,12〜15万円,107,29.14,19.0,5.5,40.5,0.3271,0.4393,0.7196
LDK,5〜7万円,104,67.58,27.0,6.0,72.0,0.3077,0.3558,0.5192
SLDK,9〜12万円,79,24.35,13.0,4.0,36.0,0.3797,0.5443,0.6962
SLDK,15〜20万円,48,34.62,15.5,6.0,49.25,0.3333,0.4792,0.6875
SK,7〜9万円,47,26.02,19.0,8.5,37.0,0.234,0.4043,0.6596
