分析観点,条件,件数,掲載期間平均日数,掲載期間中央値,掲載期間25パーセンタイル,掲載期間75パーセンタイル,7日以内終了率,14日以内終了率,30日以内終了率
全体,国分寺市全体,24608,58.13,21.0,6.0,59.0,0.3089,0.4265,0.589
最寄駅,国分寺,12653,60.55,20.0,5.0,57.0,0.3102,0.4268,0.5974
最寄駅,国立,4427,60.44,21.0,6.0,62.0,0.2912,0.4172,0.5708
最寄駅,西国分寺,3668,49.24,18.0,4.0,55.0,0.3454,0.4643,0.6096
最寄駅,恋ヶ窪,3152,55.61,22.0,6.0,64.0,0.3039,0.4109,0.5723
最寄駅,鷹の台,393,63.96,37.0,14.0,87.0,0.1705,0.2595,0.4529
最寄駅,立川,121,49.78,12.0,3.0,56.0,0.3967,0.5455,0.6281
最寄駅,泉体育館,103,53.62,24.0,9.0,76.0,0.2136,0.4078,0.5631
最寄駅,一橋学園,40,37.42,21.0,6.0,42.5,0.275,0.4,0.625
駅徒歩,6〜10分,8234,62.9,23.0,6.0,62.0,0.2785,0.4016,0.5664
駅徒歩,5分以内,7559,58.24,21.0,6.0,57.0,0.301,0.4204,0.5981
駅徒歩,11〜15分,6404,52.91,19.0,5.0,56.0,0.3409,0.4539,0.607
駅徒歩,16〜20分,1991,51.34,15.0,1.0,62.0,0.3847,0.4897,0.6138
駅徒歩,21分以上,420,74.61,35.0,10.0,87.25,0.2,0.3071,0.4786
間取り,K,11011,55.7,18.0,3.0,56.0,0.3556,0.4629,0.6112
間取り,LDK,6060,38.02,15.0,5.0,40.0,0.3429,0.4975,0.685
間取り,R,3572,86.46,37.0,12.0,91.0,0.1951,0.2942,0.4471
間取り,DK,3467,72.12,31.0,9.0,77.0,0.223,0.3268,0.4944
間取り,SLDK,274,32.09,18.0,6.0,41.75,0.3102,0.4489,0.6898
間取り,SK,75,35.32,19.0,5.5,49.0,0.2933,0.44,0.6267
間取り,SDK,43,30.26,22.0,5.5,48.0,0.3256,0.4186,0.5581
家賃帯,5〜7万円,7283,60.32,23.0,6.0,64.0,0.2984,0.4072,0.5609
家賃帯,7〜9万円,6545,41.53,14.0,2.0,45.0,0.3892,0.5073,0.6587
家賃帯,9〜12万円,3930,40.1,17.0,6.0,42.0,0.3204,0.4611,0.6613
家賃帯,5万円以下,3781,118.02,55.0,17.0,129.0,0.1449,0.2277,0.365
家賃帯,12〜15万円,1918,35.78,14.0,5.0,36.0,0.3566,0.5125,0.7096
家賃帯,15〜20万円,866,33.82,13.0,3.0,40.0,0.3799,0.5219,0.6963
家賃帯,20万円超,285,62.17,25.0,10.0,71.0,0.214,0.3579,0.5474
面積帯,20〜30㎡,8766,52.14,17.0,4.0,51.0,0.3483,0.4643,0.6248
面積帯,20㎡以下,5306,85.93,36.0,7.0,97.0,0.2599,0.3413,0.4666
面積帯,50〜70㎡,3411,41.35,17.0,6.0,44.0,0.3245,0.4691,0.6637
面積帯,30〜40㎡,3043,53.69,21.0,6.0,55.0,0.2836,0.4216,0.5928
面積帯,40〜50㎡,3016,52.04,20.0,6.0,53.0,0.2891,0.4201,0.6078
面積帯,70〜100㎡,950,44.26,18.0,5.0,52.0,0.3242,0.46,0.6274
面積帯,100㎡超,85,100.13,38.0,14.0,77.0,0.1882,0.2824,0.4588
築年数,築11〜20年,6147,34.07,12.0,0.0,38.0,0.4332,0.543,0.6977
築年数,築31〜40年,5286,85.97,39.0,13.0,94.0,0.1843,0.2855,0.4425
築年数,築21〜30年,5039,88.55,34.0,10.0,88.0,0.205,0.3112,0.4755
築年数,築5年以下,4043,32.02,13.0,4.0,37.5,0.373,0.5268,0.6958
築年数,築6〜10年,2863,24.28,11.0,2.5,31.0,0.4177,0.5665,0.7457
築年数,築41年以上,903,103.56,42.0,13.0,103.5,0.1883,0.2746,0.4153
1㎡あたり家賃,"2,500〜3,000円/㎡",7417,51.83,18.0,5.0,52.0,0.3302,0.4592,0.6232
1㎡あたり家賃,"2,000〜2,500円/㎡",6995,63.41,22.0,6.0,61.0,0.2849,0.4116,0.5768
1㎡あたり家賃,"2,000円/㎡以下",4667,77.19,31.0,9.0,81.5,0.2293,0.3338,0.4993
1㎡あたり家賃,"3,000〜3,500円/㎡",3645,45.48,19.0,4.0,52.0,0.3309,0.4499,0.6165
1㎡あたり家賃,"3,500〜4,000円/㎡",1553,34.16,6.0,0.0,39.0,0.5132,0.5776,0.6986
1㎡あたり家賃,"4,000〜5,000円/㎡",212,52.68,24.0,6.0,67.25,0.2877,0.3915,0.5566
1㎡あたり家賃,"5,000円/㎡超",88,77.42,25.0,8.5,69.75,0.25,0.3295,0.5909
掲載開始月,3,3091,43.0,14.0,4.0,47.0,0.3724,0.5089,0.6781
掲載開始月,2,2335,45.67,14.0,2.0,38.0,0.3687,0.5092,0.6955
掲載開始月,1,2322,39.87,10.0,3.0,36.0,0.4328,0.565,0.7123
掲載開始月,6,2127,72.62,27.0,8.0,79.5,0.2454,0.3653,0.5369
掲載開始月,4,1982,56.91,27.5,8.0,62.0,0.2487,0.3527,0.5232
掲載開始月,11,1954,51.38,21.0,6.0,64.75,0.3086,0.4406,0.566
掲載開始月,10,1932,106.25,30.0,7.0,78.0,0.2521,0.3556,0.501
掲載開始月,7,1890,66.44,27.0,6.0,79.75,0.282,0.381,0.5217
掲載開始月,5,1873,54.25,22.0,6.0,50.0,0.2718,0.402,0.6086
掲載開始月,12,1841,53.31,23.0,5.0,55.0,0.3047,0.3965,0.5812
掲載開始月,9,1791,55.95,25.0,5.0,75.0,0.3037,0.3936,0.5355
掲載開始月,8,1470,68.01,32.0,8.25,89.75,0.2259,0.3333,0.485
掲載開始年,2023,6302,39.77,18.0,4.0,52.0,0.3435,0.4581,0.6181
掲載開始年,2022,6157,43.47,16.0,2.0,51.0,0.3677,0.4853,0.631
掲載開始年,2020,5509,59.51,30.0,11.0,69.0,0.1977,0.3173,0.5043
掲載開始年,2021,4364,62.84,26.0,7.0,67.0,0.2557,0.3772,0.5435
掲載開始年,2024,1802,13.1,6.0,0.0,19.0,0.5366,0.6809,0.8685
掲載開始年,2019,343,433.65,267.0,169.5,486.5,0.0,0.0,0.0
掲載開始年,2018,131,1052.26,879.0,587.0,1490.0,0.0,0.0,0.0
物件種別,3101,12006,58.55,22.0,7.0,57.0,0.2723,0.4018,0.5861
物件種別,3102,11638,56.9,19.0,3.0,60.0,0.3509,0.4557,0.5961
物件種別,3103,439,66.46,26.0,6.0,74.0,0.2642,0.3804,0.5125
物件種別,3104,388,46.28,23.0,6.0,61.0,0.2758,0.4227,0.616
物件種別,3204,49,126.59,25.0,12.0,71.0,0.2041,0.3469,0.5918
物件種別,3282,31,180.65,111.0,40.5,255.0,0.0968,0.129,0.1935
最寄駅×駅徒歩,国分寺 / 5分以内,4977,61.91,23.0,7.0,59.0,0.265,0.3854,0.5777
最寄駅×駅徒歩,国分寺 / 6〜10分,3835,66.69,24.0,6.0,63.0,0.2709,0.3948,0.5671
最寄駅×駅徒歩,国分寺 / 11〜15分,3077,58.47,17.0,4.0,54.0,0.3568,0.4703,0.6237
最寄駅×駅徒歩,西国分寺 / 6〜10分,1613,53.62,20.0,6.0,58.0,0.2926,0.4253,0.584
最寄駅×駅徒歩,国立 / 11〜15分,1523,48.57,19.0,5.0,55.0,0.3132,0.4452,0.6074
最寄駅×駅徒歩,恋ヶ窪 / 6〜10分,1463,62.54,27.0,7.0,71.0,0.2652,0.3732,0.529
最寄駅×駅徒歩,国立 / 6〜10分,1176,65.41,20.0,5.75,56.0,0.3078,0.4328,0.5816
最寄駅×駅徒歩,西国分寺 / 11〜15分,1043,43.95,18.0,4.0,55.0,0.3557,0.4679,0.6012
最寄駅×駅徒歩,恋ヶ窪 / 5分以内,937,49.4,16.0,4.0,50.0,0.3479,0.476,0.6467
最寄駅×駅徒歩,西国分寺 / 5分以内,816,49.62,12.0,0.0,52.0,0.4559,0.5441,0.6691
最寄駅×駅徒歩,国分寺 / 16〜20分,753,29.2,1.0,0.0,24.0,0.6189,0.6866,0.7756
最寄駅×駅徒歩,国立 / 5分以内,732,56.07,21.0,6.0,56.0,0.2964,0.4221,0.582
最寄駅×駅徒歩,国立 / 16〜20分,704,74.21,29.0,7.0,86.0,0.2585,0.3878,0.5128
最寄駅×駅徒歩,恋ヶ窪 / 11〜15分,669,49.11,23.0,4.0,64.0,0.3274,0.4006,0.5605
最寄駅×駅徒歩,国立 / 21分以上,292,80.1,41.0,13.0,89.5,0.1747,0.2671,0.4486
最寄駅×駅徒歩,西国分寺 / 16〜20分,184,41.38,23.5,7.0,46.25,0.2609,0.4239,0.5978
最寄駅×駅徒歩,鷹の台 / 16〜20分,182,63.52,50.0,18.25,83.75,0.1374,0.2088,0.3681
最寄駅×駅徒歩,鷹の台 / 6〜10分,120,49.38,24.0,9.75,46.0,0.2,0.3417,0.625
最寄駅×駅徒歩,立川 / 5分以内,86,46.99,10.0,3.0,46.0,0.4535,0.6163,0.686
最寄駅×駅徒歩,鷹の台 / 11〜15分,66,63.2,38.5,10.5,96.75,0.2273,0.303,0.4545
最寄駅×駅徒歩,恋ヶ窪 / 16〜20分,65,64.89,27.0,7.0,85.0,0.2615,0.3846,0.5538
最寄駅×駅徒歩,泉体育館 / 16〜20分,58,43.14,17.5,6.0,51.5,0.2759,0.4655,0.6379
最寄駅×駅徒歩,泉体育館 / 21分以上,36,58.14,27.5,11.25,80.0,0.1667,0.3889,0.5278
最寄駅×駅徒歩,一橋学園 / 16〜20分,33,29.79,20.0,5.0,39.0,0.3333,0.4545,0.6364
間取り×家賃帯,K / 5〜7万円,5181,49.58,18.0,4.0,53.0,0.3432,0.4594,0.6153
間取り×家賃帯,K / 7〜9万円,3590,28.5,8.0,0.0,31.0,0.4969,0.6039,0.7457
間取り×家賃帯,LDK / 9〜12万円,2448,34.48,15.0,5.0,37.0,0.3493,0.4975,0.6961
間取り×家賃帯,K / 5万円以下,1992,122.09,58.0,17.0,136.0,0.1486,0.2274,0.3624
間取り×家賃帯,R / 5万円以下,1639,111.26,54.0,18.0,120.5,0.1373,0.2227,0.3685
間取り×家賃帯,LDK / 12〜15万円,1597,34.49,13.0,4.0,33.0,0.3701,0.5379,0.732
間取り×家賃帯,DK / 7〜9万円,1362,69.35,33.0,9.0,78.0,0.2254,0.3289,0.4816
間取り×家賃帯,R / 5〜7万円,1165,82.41,39.0,12.0,87.0,0.1966,0.291,0.4335
間取り×家賃帯,DK / 9〜12万円,972,54.21,24.0,6.0,60.0,0.2757,0.3858,0.5864
間取り×家賃帯,LDK / 7〜9万円,926,52.4,19.5,7.0,51.0,0.2678,0.4406,0.6058
間取り×家賃帯,DK / 5〜7万円,812,96.64,46.0,15.0,109.0,0.1502,0.2438,0.4002
間取り×家賃帯,LDK / 15〜20万円,785,32.85,13.0,3.0,38.0,0.3898,0.5312,0.7045
間取り×家賃帯,R / 7〜9万円,600,41.09,19.0,5.0,51.25,0.3283,0.455,0.6217
間取り×家賃帯,K / 9〜12万円,246,44.08,23.0,8.25,49.75,0.2276,0.3862,0.5772
間取り×家賃帯,LDK / 20万円超,199,47.78,23.0,8.5,63.5,0.2312,0.3819,0.5528
間取り×家賃帯,DK / 12〜15万円,186,46.12,25.5,7.0,64.75,0.2634,0.3656,0.5645
間取り×家賃帯,R / 9〜12万円,160,32.49,17.0,6.0,34.0,0.2875,0.4625,0.7188
間取り×家賃帯,DK / 5万円以下,108,134.09,43.5,12.75,109.5,0.1944,0.3148,0.3981
間取り×家賃帯,SLDK / 12〜15万円,107,29.14,19.0,5.5,40.5,0.3271,0.4393,0.7196
間取り×家賃帯,LDK / 5〜7万円,104,67.58,27.0,6.0,72.0,0.3077,0.3558,0.5192
間取り×家賃帯,SLDK / 9〜12万円,79,24.35,13.0,4.0,36.0,0.3797,0.5443,0.6962
間取り×家賃帯,SLDK / 15〜20万円,48,34.62,15.5,6.0,49.25,0.3333,0.4792,0.6875
間取り×家賃帯,SK / 7〜9万円,47,26.02,19.0,8.5,37.0,0.234,0.4043,0.6596
