duration_band,n
0-30d,12742
30-60d,3986
60-90d,2176
90-120d,1156
120-150d,703
150-180d,402
180-210d,266
210-240d,223
240-270d,173
270-300d,94
300-330d,66
330-360d,52
360-390d,48
390-420d,33
420-450d,15
450-480d,14
480-510d,22
510-540d,13
540-570d,13
570-600d,14
600-630d,10
630-660d,11
660-690d,9
690-720d,12
720-750d,6
750-780d,5
780-810d,5
810-840d,8
840-870d,7
870-900d,3
900-930d,3
930-960d,6
960-990d,2
990-1020d,8
1020-1050d,5
1050-1080d,2
1080-1110d,2
1110-1140d,3
1140-1170d,1
1170-1200d,0
1200-1230d,3
1230-1260d,1
1260-1290d,0
1290-1320d,0
1320-1350d,2
1350-1380d,2
1380-1410d,1
1410-1440d,2
1440-1470d,0
1470-1500d,2
