rent_band,n
0-20k,28
20-40k,836
40-60k,5032
60-80k,7562
80-100k,3848
100-120k,2114
120-140k,1392
140-160k,719
160-180k,349
180-200k,170
200-220k,60
220-240k,84
240-260k,43
260-280k,27
280-300k,4
300-320k,2
320-340k,10
340-360k,7
360-380k,0
380-400k,0
400-420k,0
420-440k,0
440-460k,3
460-480k,0
480-500k,1
500-520k,0
520-540k,0
540-560k,0
560-580k,0
580-600k,1
600-620k,0
620-640k,0
640-660k,35
660-680k,0
680-700k,0
700-720k,0
720-740k,0
740-760k,0
760-780k,0
780-800k,0
800-820k,0
820-840k,1
840-860k,0
860-880k,0
880-900k,0
900-920k,0
920-940k,0
940-960k,0
960-980k,0
980-1000k,0
1000-1020k,0
1020-1040k,0
1040-1060k,0
1060-1080k,0
1080-1100k,0
1100-1120k,0
1120-1140k,0
1140-1160k,0
1160-1180k,0
1180-1200k,0
1200-1220k,0
1220-1240k,0
1240-1260k,0
1260-1280k,0
1280-1300k,0
1300-1320k,0
1320-1340k,0
1340-1360k,0
1360-1380k,0
1380-1400k,0
1400-1420k,0
1420-1440k,0
1440-1460k,0
1460-1480k,0
1480-1500k,0
1500-1520k,1
1520-1540k,0
1540-1560k,0
1560-1580k,0
1580-1600k,0
1600-1620k,0
1620-1640k,0
1640-1660k,1
1660-1680k,0
1680-1700k,0
1700-1720k,0
1720-1740k,0
1740-1760k,0
1760-1780k,0
1780-1800k,0
1800-1820k,0
1820-1840k,0
1840-1860k,0
1860-1880k,0
1880-1900k,0
1900-1920k,0
1920-1940k,0
1940-1960k,0
1960-1980k,0
1980-2000k,0
2000-2020k,0
2020-2040k,0
2040-2060k,0
2060-2080k,0
2080-2100k,0
2100-2120k,1
2120-2140k,0
2140-2160k,0
2160-2180k,0
2180-2200k,0
2200-2220k,0
2220-2240k,0
2240-2260k,0
2260-2280k,0
2280-2300k,0
2300-2320k,0
2320-2340k,0
2340-2360k,0
2360-2380k,0
2380-2400k,0
2400-2420k,0
2420-2440k,0
2440-2460k,0
2460-2480k,0
2480-2500k,0
2500-2520k,0
2520-2540k,0
2540-2560k,0
2560-2580k,0
2580-2600k,0
2600-2620k,0
2620-2640k,0
2640-2660k,0
2660-2680k,0
2680-2700k,0
2700-2720k,0
2720-2740k,0
2740-2760k,0
2760-2780k,0
2780-2800k,0
2800-2820k,0
2820-2840k,0
2840-2860k,0
2860-2880k,0
2880-2900k,0
2900-2920k,0
2920-2940k,0
2940-2960k,0
2960-2980k,0
2980-3000k,0
3000-3020k,0
3020-3040k,0
3040-3060k,0
3060-3080k,0
3080-3100k,0
3100-3120k,0
3120-3140k,0
3140-3160k,0
3160-3180k,0
3180-3200k,0
3200-3220k,0
3220-3240k,0
3240-3260k,0
3260-3280k,0
3280-3300k,0
3300-3320k,0
3320-3340k,0
3340-3360k,0
3360-3380k,0
3380-3400k,0
3400-3420k,0
3420-3440k,0
3440-3460k,0
3460-3480k,0
3480-3500k,0
3500-3520k,0
3520-3540k,0
3540-3560k,0
3560-3580k,0
3580-3600k,0
3600-3620k,0
3620-3640k,0
3640-3660k,0
3660-3680k,0
3680-3700k,0
3700-3720k,0
3720-3740k,0
3740-3760k,0
3760-3780k,0
3780-3800k,1
