pub_end_date,n
2024-03-31,668
2021-06-17,298
2024-01-14,121
2024-01-28,91
2020-07-12,88
2024-03-11,88
2023-11-26,86
2024-01-08,84
2020-07-26,81
2023-01-15,80
2023-09-21,79
2020-05-31,77
2020-03-15,77
2020-07-05,73
2022-11-14,73
2023-10-16,73
2023-07-30,72
2020-06-21,72
2023-10-09,71
2022-12-11,71
2020-04-08,71
2023-12-24,67
2020-06-08,67
2020-06-28,66
2023-01-16,66
2020-11-29,65
2023-01-11,63
2024-01-07,61
2020-06-14,61
2023-12-18,59
2020-07-19,59
2022-03-02,58
2022-01-12,58
2020-05-10,58
2023-01-09,56
2021-01-17,56
2022-10-30,54
2020-06-07,54
2020-04-05,54
2022-02-23,54
2024-03-10,53
2022-02-02,53
2020-05-24,53
2020-05-17,53
2020-03-22,51
2022-03-06,50
2024-03-17,49
2020-05-06,48
2023-03-13,48
2020-08-27,47
2022-03-04,47
2023-02-26,47
2024-03-03,47
2023-12-04,47
2023-12-20,46
2023-02-06,46
2024-02-19,46
2023-11-13,45
2022-02-22,45
2020-08-02,44
2021-01-11,44
2024-01-24,44
2024-02-11,44
2020-07-27,44
2024-02-26,44
2023-02-19,44
2023-01-29,44
2021-07-15,44
2023-12-11,43
2023-06-04,43
2023-01-19,43
2024-01-06,43
2023-10-15,43
2024-01-19,42
2021-02-14,41
2023-01-17,41
2024-03-04,41
2020-06-15,41
2023-08-27,41
2023-11-18,41
2020-06-10,41
2020-03-20,40
2022-01-19,40
2022-02-18,40
2022-03-09,40
2023-09-18,40
2023-07-28,40
2023-09-30,39
2023-02-05,39
2020-07-13,39
2021-01-24,39
2022-04-11,39
2022-10-12,39
2022-06-18,38
2022-02-25,38
2021-05-23,38
2020-04-22,38
2020-04-25,38
2020-05-18,38
2024-01-15,38
2020-03-29,38
2023-10-23,38
2023-05-14,38
2023-01-23,38
2022-12-05,38
2021-12-12,37
2022-07-10,37
2022-06-08,37
2022-04-08,37
2022-03-14,37
2020-12-13,37
2023-02-16,37
2023-03-01,37
2023-12-10,37
2020-08-23,37
2023-10-29,37
2020-07-20,36
2022-01-24,36
2022-01-26,36
2024-01-22,36
2022-01-10,36
2023-02-27,36
2022-01-17,36
2023-02-02,36
2020-11-08,36
2022-07-27,35
2020-09-06,35
2023-10-22,35
2022-04-20,35
2020-09-13,35
2023-11-05,35
2022-01-21,35
2022-12-12,35
2024-02-18,35
2023-12-25,35
2023-12-22,34
2023-01-22,34
2023-03-02,34
2020-06-29,34
2022-01-27,34
2024-01-25,34
2020-08-30,34
2021-05-09,34
2022-07-17,34
2023-08-28,34
2020-05-09,34
2020-03-14,33
2023-02-12,33
2023-02-04,33
2020-05-07,33
2023-09-24,33
2023-12-02,33
2023-07-27,33
2022-04-06,33
2022-05-08,33
2021-12-17,33
2023-02-13,33
2023-01-25,32
2021-11-03,32
2022-11-27,32
2022-01-14,32
2023-01-13,32
2020-03-30,32
2022-02-04,32
2022-05-23,32
2023-07-02,32
2023-10-30,32
2023-09-25,32
2024-02-04,32
2023-12-15,32
2021-02-21,32
2023-06-25,32
2023-05-07,32
2021-11-14,32
2020-03-18,31
2022-05-11,31
2023-07-09,31
2023-11-19,31
2022-01-22,31
2021-11-28,31
2022-01-09,31
2022-12-19,31
2023-02-15,31
2024-02-12,31
2020-10-18,31
2022-03-13,31
2022-02-16,31
2020-07-22,31
2022-02-28,31
2023-03-03,31
2020-06-01,31
2021-03-07,31
2021-01-25,31
2021-02-08,31
2023-10-02,30
2022-06-01,30
2022-04-18,30
2020-03-11,30
2023-11-10,30
2020-08-16,30
2023-08-17,30
2021-12-15,30
2022-11-23,30
2021-02-28,30
2021-03-14,30
2022-10-10,30
2023-03-20,30
2024-01-21,30
2022-07-16,30
2022-06-20,30
2022-06-04,30
2024-02-25,30
2020-05-23,30
2022-01-16,30
2021-01-10,30
2022-08-03,29
2020-09-28,29
2023-08-18,29
2023-11-20,29
2023-11-11,29
2024-02-02,29
2022-03-27,29
2020-03-19,29
2021-11-15,29
2020-03-13,29
2022-03-07,29
2020-08-15,29
2022-01-23,29
2020-07-04,29
2022-12-22,29
2020-11-15,29
2023-04-05,29
2022-09-26,29
2023-03-05,29
2023-03-06,29
2020-05-20,29
2024-02-10,29
2024-02-21,29
2020-05-21,29
2020-12-14,29
2024-03-27,29
2021-11-07,29
2021-12-05,29
2021-12-02,28
2021-12-22,28
2022-10-26,28
2020-04-19,28
2022-01-13,28
2022-09-12,28
2023-03-26,28
2023-03-08,28
2022-11-06,28
2021-03-21,28
2023-07-26,28
2023-04-29,28
2022-03-11,28
2023-09-10,28
2020-03-16,28
2024-02-03,28
2022-07-06,28
2022-02-07,28
2023-05-21,27
2020-11-01,27
2022-01-30,27
2023-11-03,27
2022-05-25,27
2022-02-13,27
2023-09-11,27
2021-11-17,27
2022-03-25,27
2021-02-15,27
2022-11-07,27
2020-11-22,27
2021-12-24,27
2023-10-01,27
2024-02-16,27
2020-12-06,26
2020-07-08,26
2022-12-07,26
2024-01-11,26
2021-12-19,26
2020-04-04,26
2024-03-16,26
2023-10-08,26
2022-11-05,26
2022-09-18,26
2023-09-23,26
2022-03-18,26
2023-05-31,26
2022-06-27,26
2022-07-11,26
2022-09-01,26
2022-12-04,26
2021-08-22,26
2024-02-05,26
2020-03-21,26
2022-05-13,26
2023-06-22,26
2022-05-21,26
2020-09-27,26
2021-06-13,26
2023-12-03,25
2020-06-12,25
2020-07-06,25
2021-02-03,25
2022-10-24,25
2024-01-16,25
2020-05-30,25
2022-06-29,25
2023-03-04,25
2020-06-03,25
2021-12-13,25
2022-11-22,25
2023-02-23,25
2023-02-01,25
2020-04-23,25
2021-02-07,25
2022-09-19,25
2020-10-25,25
2023-09-03,25
2022-06-06,25
2020-10-11,25
2023-04-19,25
2023-04-12,25
2022-08-17,25
2023-08-21,24
2020-11-26,24
2023-02-11,24
2023-01-26,24
2021-09-27,24
2024-03-02,24
2022-12-25,24
2020-09-12,24
2023-08-30,24
2024-03-09,24
2020-06-22,24
2023-07-10,24
2020-07-29,24
2022-03-16,24
2020-08-03,24
2022-01-31,24
2022-10-03,24
2022-08-22,24
2022-07-25,24
2023-11-27,24
2020-03-23,23
2022-03-23,23
2024-03-24,23
2021-02-01,23
2020-11-24,23
2022-02-27,23
2020-05-12,23
2022-03-05,23
2022-02-10,23
2023-09-27,23
2020-07-23,23
2022-04-24,23
2022-04-04,23
2022-04-10,23
2022-08-29,23
2022-02-06,23
2022-08-01,23
2022-04-13,23
2020-09-20,23
2022-08-28,23
2022-08-15,23
2022-09-11,23
2022-09-05,23
2022-09-14,23
2022-10-08,23
2022-07-14,23
2022-01-28,23
2022-09-04,23
2023-07-19,23
2023-02-14,23
2023-02-20,23
2022-11-19,23
2020-04-26,23
2020-06-11,23
2023-06-11,23
2021-10-17,22
2023-11-04,22
2020-10-04,22
2022-04-27,22
2021-03-28,22
2021-10-03,22
2022-02-11,22
2023-09-20,22
2022-08-27,22
2021-12-06,22
2023-06-10,22
2023-06-01,22
2023-05-22,22
2023-05-17,22
2021-01-31,22
2021-07-11,22
2024-02-17,22
2024-02-14,22
2020-04-12,22
2021-11-11,22
2022-11-20,22
2021-01-14,22
2024-03-20,22
2021-02-04,22
2021-12-20,22
2022-09-24,22
2023-03-30,22
2021-09-04,21
2021-11-08,21
2021-11-29,21
2020-06-13,21
2023-02-17,21
2024-01-18,21
2020-06-05,21
2023-01-30,21
2022-11-26,21
2022-12-21,21
2024-02-08,21
2021-01-04,21
2021-01-13,21
2020-12-20,21
2023-03-09,21
2023-03-15,21
2023-03-16,21
2023-04-03,21
2022-10-02,21
2022-10-05,21
2022-08-18,21
2021-04-11,21
2023-07-23,21
2020-07-17,21
2023-09-04,21
2022-03-28,21
2022-05-30,21
2022-02-09,21
2022-04-23,21
2021-05-30,21
2022-02-14,21
2022-03-03,21
2020-05-11,21
2023-08-26,21
2020-03-12,21
2021-10-24,21
2021-10-25,21
2021-09-19,20
2021-11-10,20
2022-04-21,20
2024-03-30,20
2020-05-13,20
2024-02-06,20
2022-06-13,20
2022-06-15,20
2021-05-24,20
2022-04-15,20
2021-03-20,20
2022-01-20,20
2022-07-30,20
2021-05-02,20
2022-06-12,20
2022-06-05,20
2022-08-06,20
2023-08-05,20
2021-01-18,20
2022-12-26,20
2021-07-17,20
2020-04-24,20
2022-10-20,20
2022-10-23,20
2021-02-25,20
2022-08-21,20
2020-03-28,20
2023-10-21,20
2023-07-03,20
2023-04-09,20
2023-03-19,20
2023-04-17,20
2023-12-06,20
2020-06-06,20
2023-07-17,20
2021-08-29,19
2022-07-31,19
2021-05-08,19
2022-05-29,19
2021-08-15,19
2021-10-23,19
2022-03-19,19
2022-08-31,19
2022-09-03,19
2020-06-17,19
2023-01-12,19
2022-11-02,19
2022-10-09,19
2022-10-29,19
2022-10-31,19
2020-11-30,19
2023-02-09,19
2020-11-13,19
2023-03-23,19
2020-11-02,19
2023-06-18,19
2023-08-14,19
2020-07-18,19
2020-03-25,18
2024-02-01,18
2024-01-29,18
2021-02-24,18
2022-06-26,18
2021-08-01,18
2022-06-25,18
2020-04-29,18
2020-09-21,18
2022-07-24,18
2021-08-18,18
2021-10-11,18
2023-11-12,18
2021-10-10,18
2024-03-06,18
2024-03-01,18
2024-02-20,18
2020-04-14,18
2024-03-25,18
2022-04-17,18
2022-02-24,18
2022-02-19,18
2023-01-14,18
2023-12-07,18
2022-12-17,18
2022-11-13,18
2022-05-16,18
2021-07-04,18
2022-11-09,18
2020-06-24,18
2023-11-29,18
2021-07-18,18
2022-05-22,18
2022-06-19,18
2023-05-05,18
2023-05-24,18
2021-06-06,18
2023-02-10,18
2022-04-25,18
2022-03-30,18
2020-05-08,17
2021-01-21,17
2020-07-24,17
2023-04-23,17
2023-08-31,17
2022-09-17,17
2021-04-10,17
2021-10-27,17
2021-02-22,17
2021-10-31,17
2022-07-04,17
2022-07-13,17
2020-05-16,17
2021-03-08,17
2021-11-21,17
2022-10-16,17
2020-06-18,17
2023-01-07,17
2023-06-26,17
2020-06-02,17
2021-01-23,17
2022-12-18,17
2022-05-09,17
2022-05-18,17
2022-02-03,17
2022-11-30,17
2023-04-02,17
2021-05-05,17
2021-02-27,17
2024-03-18,17
2023-01-18,17
2023-10-07,17
2023-01-06,17
2021-05-22,16
2024-01-05,16
2022-09-10,16
2020-07-16,16
2021-08-30,16
2021-08-28,16
2023-08-23,16
2021-09-26,16
2020-04-20,16
2022-09-07,16
2020-09-05,16
2020-12-19,16
2023-03-12,16
2023-02-18,16
2020-06-19,16
2022-03-31,16
2021-05-16,16
2020-07-02,16
2023-02-08,16
2024-02-22,16
2020-07-09,16
2024-01-10,16
2022-06-23,16
2021-04-18,16
2021-07-24,16
2022-09-21,16
2022-09-28,16
2023-11-06,16
2022-09-15,16
2024-02-07,16
2022-11-16,16
2023-05-15,16
2023-04-10,16
2023-11-22,16
2020-10-15,16
2020-05-22,15
2021-05-29,15
2022-02-17,15
2023-08-20,15
2022-04-01,15
2022-03-26,15
2024-03-07,15
2022-03-10,15
2020-04-06,15
2024-02-24,15
2021-04-04,15
2023-07-12,15
2022-09-23,15
2022-07-03,15
2022-08-25,15
2022-07-02,15
2021-11-25,15
2021-11-22,15
2022-07-18,15
2022-02-26,15
2023-02-24,15
2020-05-25,15
2020-07-10,15
2020-12-10,15
2022-03-21,15
2022-04-14,15
2022-08-10,15
2023-05-13,15
2022-01-08,15
2021-03-01,15
2023-06-24,15
2023-05-10,15
2021-02-10,15
2020-08-17,15
2022-11-18,15
2021-02-11,15
2020-10-10,15
2021-01-27,15
2021-06-07,15
2023-01-04,15
2022-04-03,15
2020-04-09,14
2024-02-09,14
2021-04-12,14
2020-07-15,14
2022-10-17,14
2021-12-04,14
2022-09-25,14
2021-12-11,14
2023-09-09,14
2021-11-06,14
2023-11-01,14
2021-10-22,14
2021-10-30,14
2021-09-13,14
2023-07-15,14
2023-05-27,14
2020-10-01,14
2022-06-22,14
2022-12-15,14
2023-10-11,14
2022-12-14,14
2020-11-16,14
2023-09-13,14
2021-06-27,14
2021-07-05,14
2022-06-11,14
2022-01-15,14
2022-05-14,14
2022-11-03,14
2022-10-22,14
2022-10-19,14
2022-01-05,14
2022-10-06,14
2021-11-26,14
2021-01-28,14
2023-03-22,14
2020-12-07,14
2022-04-22,14
2022-02-12,14
2020-12-05,14
2023-01-27,14
2022-03-17,14
2020-03-26,14
2020-04-01,14
2020-04-16,14
2024-02-29,14
2024-02-28,14
2024-03-23,13
2020-04-13,13
2020-04-15,13
2022-03-12,13
2022-04-09,13
2022-04-16,13
2022-03-20,13
2022-05-19,13
2023-04-24,13
2021-06-20,13
2021-01-22,13
2022-11-11,13
2023-04-07,13
2023-09-17,13
2021-01-30,13
2021-05-06,13
2021-01-07,13
2020-08-24,13
2022-02-20,13
2020-07-01,13
2020-04-18,13
2023-04-22,13
2023-06-23,13
2020-05-01,13
2021-03-10,13
2022-09-02,13
2022-08-26,13
2023-06-17,13
2020-10-12,13
2023-05-28,13
2022-10-14,13
2023-09-01,13
2023-05-08,13
2022-11-28,13
2022-05-15,13
2022-05-06,13
2020-07-25,13
2020-06-04,13
2021-05-10,13
2023-11-25,13
2023-02-28,12
2021-09-03,12
2023-07-22,12
2020-04-30,12
2024-03-22,12
2020-04-02,12
2020-07-11,12
2023-11-16,12
2020-04-03,12
2024-03-19,12
2023-01-31,12
2020-12-23,12
2021-09-12,12
2023-04-13,12
2023-05-11,12
2021-07-12,12
2020-10-19,12
2022-12-03,12
2022-11-17,12
2022-12-01,12
2023-07-05,12
2023-06-07,12
2021-04-17,12
2023-05-04,12
2022-10-15,12
2023-09-02,12
2022-10-13,12
2023-06-16,12
2024-01-17,12
2021-12-18,12
2020-06-26,12
2021-07-08,12
2020-10-28,12
2023-04-01,12
2021-07-07,12
2020-12-04,12
2023-03-10,12
2023-09-16,12
2023-03-17,12
2023-03-27,12
2020-06-20,12
2024-01-04,12
2023-02-21,12
2022-04-29,12
2021-11-27,12
2023-06-19,12
2024-01-20,12
2020-05-29,12
2022-07-21,12
2021-12-08,12
2022-07-09,12
2023-06-21,12
2021-11-18,12
2023-11-02,12
2023-11-09,12
2021-11-12,12
2021-09-17,12
2021-10-28,12
2020-10-03,12
2021-03-05,12
2020-10-05,12
2023-05-06,12
2024-02-23,11
2023-08-19,11
2020-12-18,11
2023-01-08,11
2023-12-09,11
2023-12-13,11
2023-10-14,11
2020-08-22,11
2021-06-02,11
2023-12-16,11
2022-03-24,11
2022-04-02,11
2023-03-24,11
2023-02-22,11
2021-12-26,11
2021-08-05,11
2020-05-15,11
2020-08-06,11
2023-10-20,11
2022-06-02,11
2023-03-29,11
2020-10-26,11
2021-05-15,11
2021-06-05,11
2021-01-06,11
2021-01-29,11
2020-11-21,11
2022-12-23,11
2021-03-04,11
2023-05-03,11
2021-07-25,11
2022-05-28,11
2022-01-04,11
2023-07-08,11
2021-04-03,11
2022-06-30,11
2021-03-31,11
