layout,age_band,n,mean,median,mode_values,selected_stat,selected_value,selected_value_issue
1DK,0-5y,142,57.971830985915496,37.0,0|37|54,median,37.0,
1DK,5-10y,74,28.04054054054054,23.0,0|20,median,23.0,
1DK,10-15y,92,35.72826086956522,18.5,0,median,18.5,
1DK,15-20y,69,25.246376811594203,6.0,0,median,6.0,
1DK,20-25y,141,37.269503546099294,22.0,6,median,22.0,
1DK,25-30y,69,58.34782608695652,29.0,6,median,29.0,
1DK,30-35y,139,77.61151079136691,38.0,6,median,38.0,
1DK,35-40y,95,75.09473684210526,34.0,5|10|13,median,34.0,
1DK,40-45y,60,76.08333333333333,41.0,3|5|13|20|41,median,41.0,
1DK,45-50y,26,71.0,41.0,3|41,median,41.0,
1DK,50-55y,9,100.55555555555556,76.0,2|3|7|53|76|97|117|127|423,median,76.0,
1DK,65-70y,2,7.0,7.0,1|13,median,7.0,
1K,0-5y,1046,24.596558317399616,12.0,0,median,12.0,
1K,5-10y,1021,20.84720861900098,9.0,0,median,9.0,
1K,10-15y,1894,21.415522703273496,1.0,0,median,1.0,
1K,15-20y,1953,34.94111623143881,16.0,0,median,16.0,
1K,20-25y,1041,54.12295869356388,27.0,0,median,27.0,
1K,25-30y,994,93.39537223340041,49.0,0,median,49.0,
1K,30-35y,1083,99.56879039704525,54.0,6,median,54.0,
1K,35-40y,357,98.0140056022409,53.0,6,median,53.0,
1K,40-45y,110,106.7090909090909,61.5,13,median,61.5,
1K,45-50y,72,80.95833333333333,51.0,5,median,51.0,
1K,50-55y,12,182.08333333333334,111.0,5|6|31|77|80|90|132|194|196|234|262|878,median,111.0,
1K,55-60y,3,11.666666666666666,6.0,2|6|27,median,6.0,
1K,60-65y,2,76.5,76.5,7|146,median,76.5,
1LDK,0-5y,603,22.22553897180763,12.0,0,median,12.0,
1LDK,5-10y,858,21.466200466200466,13.0,0,median,13.0,
1LDK,10-15y,405,31.106172839506172,16.0,0,median,16.0,
1LDK,15-20y,140,29.007142857142856,15.0,6,median,15.0,
1LDK,20-25y,28,30.214285714285715,14.5,3,median,14.5,
1LDK,25-30y,55,93.12727272727273,31.0,0|17,median,31.0,
1LDK,30-35y,124,65.75,28.5,6,median,28.5,
1LDK,35-40y,58,53.189655172413794,30.0,0|5,median,30.0,
1LDK,40-45y,33,90.57575757575758,47.0,27,median,47.0,
1LDK,45-50y,17,31.058823529411764,30.0,4|54,median,30.0,
1LDK,50-55y,8,52.25,45.0,45,median,45.0,
1LDK,65-70y,1,74.0,74.0,74,median,74.0,
1R,0-5y,417,40.99760191846523,23.0,0,median,23.0,
1R,5-10y,254,57.72834645669291,27.0,0,median,27.0,
1R,10-15y,143,49.32867132867133,21.0,6,median,21.0,
1R,15-20y,182,47.30769230769231,27.5,23,median,27.5,
1R,20-25y,152,73.71710526315789,37.0,2|6|11|27|34,median,37.0,
1R,25-30y,638,80.75078369905957,46.5,6,median,46.5,
1R,30-35y,811,102.4648581997534,55.0,13,median,55.0,
1R,35-40y,421,86.56532066508314,56.0,0,median,56.0,
1R,40-45y,36,79.27777777777777,54.5,5|87|90,median,54.5,
1R,45-50y,14,23.571428571428573,17.5,12,median,17.5,
1R,50-55y,5,80.8,69.0,6|57|69|119|153,median,69.0,
1R,55-60y,6,34.0,23.5,1|8|16|31|62|86,median,23.5,
1R,65-70y,2,54.5,54.5,21|88,median,54.5,
1SDK,10-15y,4,29.75,33.0,13|29|37|40,median,33.0,
1SDK,30-35y,1,14.0,14.0,14,median,14.0,
1SK,0-5y,5,20.8,4.0,2|3|4|47|48,median,4.0,
1SK,5-10y,16,39.25,36.0,0|38,median,36.0,
1SK,10-15y,16,23.1875,18.0,13|17|19|27,median,18.0,
1SK,15-20y,21,23.476190476190474,12.0,3,median,12.0,
1SK,20-25y,11,42.0,13.0,3,median,13.0,
1SK,40-45y,2,269.5,269.5,172|367,median,269.5,
1SLDK,0-5y,18,34.333333333333336,30.0,0|19|30|86,median,30.0,
1SLDK,5-10y,35,22.771428571428572,13.0,2,median,13.0,
1SLDK,10-15y,19,31.526315789473685,22.0,2,median,22.0,
1SLDK,15-20y,16,19.6875,16.0,5,median,16.0,
1SLDK,20-25y,4,27.0,22.0,14|17|27|50,median,22.0,
1SLDK,25-30y,2,113.0,113.0,89|137,median,113.0,
1SLDK,30-35y,3,15.0,13.0,7|13|25,median,13.0,
1SLDK,35-40y,4,25.75,7.5,0,median,7.5,
1SLDK,40-45y,2,18.0,18.0,14|22,median,18.0,
2DK,0-5y,17,9.941176470588236,5.0,0|5,median,5.0,
2DK,5-10y,14,31.785714285714285,13.5,13|14,median,13.5,
2DK,10-15y,14,37.07142857142857,12.0,4|6,median,12.0,
2DK,15-20y,63,36.857142857142854,24.0,13,median,24.0,
2DK,20-25y,177,31.89265536723164,13.0,0,median,13.0,
2DK,25-30y,303,79.08580858085809,47.0,3,median,47.0,
2DK,30-35y,474,65.39451476793249,40.5,0,median,40.5,
2DK,35-40y,301,60.54485049833887,34.0,6,median,34.0,
2DK,40-45y,91,103.87912087912088,61.0,13,median,61.0,
2DK,45-50y,29,110.24137931034483,38.0,1|10|13|61|558,median,38.0,
2DK,50-55y,7,70.28571428571429,80.0,0|3|67|80|104|118|120,median,80.0,
2K,0-5y,1,67.0,67.0,67,median,67.0,
2K,5-10y,2,3.5,3.5,3|4,median,3.5,
2K,10-15y,4,17.25,15.0,15,median,15.0,
2K,15-20y,12,46.0,41.5,90,median,41.5,
2K,20-25y,8,36.625,13.0,10,median,13.0,
2K,25-30y,16,41.6875,24.5,3|5|6|9|10|17|20|23|26|30|52|56|58|72|136|144,median,24.5,
2K,30-35y,68,92.76470588235294,55.5,13|44,median,55.5,
2K,35-40y,64,80.0625,47.0,20,median,47.0,
2K,40-45y,36,115.08333333333333,60.5,3|7|8|13|40|78,median,60.5,
2K,45-50y,20,160.95,57.0,2|3|5|11|20|24|27|43|46|55|59|83|89|153|184|185|298|416|655|861,median,57.0,
2K,50-55y,23,43.91304347826087,16.0,5,median,16.0,
2K,55-60y,3,30.333333333333332,6.0,5|6|80,median,6.0,
2K,60-65y,1,632.0,632.0,632,median,632.0,
2LDK,0-5y,476,21.008403361344538,9.5,0,median,9.5,
2LDK,5-10y,371,20.714285714285715,10.0,0,median,10.0,
2LDK,10-15y,136,30.904411764705884,15.0,0,median,15.0,
2LDK,15-20y,179,26.039106145251395,16.0,0,median,16.0,
2LDK,20-25y,201,34.0,17.0,0,median,17.0,
2LDK,25-30y,104,58.43269230769231,21.5,0,median,21.5,
2LDK,30-35y,276,37.96376811594203,26.5,13,median,26.5,
2LDK,35-40y,64,44.484375,23.5,18,median,23.5,
2LDK,40-45y,22,52.95454545454545,37.5,81,median,37.5,
2LDK,45-50y,23,38.43478260869565,26.0,6|13|22,median,26.0,
2LDK,50-55y,4,44.75,14.5,4|6|23|146,median,14.5,
2LDK,55-60y,4,41.0,41.0,12|15|67|70,median,41.0,
2SDK,25-30y,8,19.75,5.0,0|5,median,5.0,
2SDK,35-40y,5,35.8,31.0,63,median,31.0,
2SLDK,0-5y,22,19.40909090909091,18.0,0,median,18.0,
2SLDK,5-10y,16,20.9375,11.0,0|19,median,11.0,
2SLDK,10-15y,10,24.1,12.5,2|5|8|10|11|14|20|25|35|111,median,12.5,
2SLDK,15-20y,11,31.727272727272727,20.0,0|2|4|7|16|20|26|47|66|70|91,median,20.0,
2SLDK,20-25y,9,68.88888888888889,22.0,5|6|12|15|22|56|135|153|216,median,22.0,
2SLDK,25-30y,9,66.88888888888889,67.0,4|67,median,67.0,
2SLDK,30-35y,7,17.428571428571427,12.0,0|2|3|12|28|35|42,median,12.0,
2SLDK,35-40y,1,20.0,20.0,20,median,20.0,
3DK,15-20y,3,73.0,51.0,43|51|125,median,51.0,
3DK,20-25y,47,55.59574468085106,48.0,23,median,48.0,
3DK,25-30y,88,52.875,33.0,6,median,33.0,
3DK,30-35y,239,56.7907949790795,28.0,4|13,median,28.0,
3DK,35-40y,93,41.53763440860215,25.0,7,median,25.0,
3DK,40-45y,55,64.50909090909092,40.0,0,median,40.0,
3DK,45-50y,13,55.69230769230769,45.0,0|3|5|6|10|40|45|62|65|93|105|109|181,median,45.0,
3DK,50-55y,1,25.0,25.0,25,median,25.0,
3DK,55-60y,2,11.5,11.5,3|20,median,11.5,
3K,20-25y,3,110.0,74.0,66|74|190,median,74.0,
3K,25-30y,1,14.0,14.0,14,median,14.0,
3K,30-35y,6,49.833333333333336,38.5,94,median,38.5,
3K,40-45y,12,248.08333333333334,300.5,393,median,300.5,
3K,50-55y,15,55.46666666666667,47.0,31|47,median,47.0,
3K,55-60y,2,23.0,23.0,23,median,23.0,
3LDK,0-5y,131,28.65648854961832,13.0,0|6,median,13.0,
3LDK,5-10y,45,19.244444444444444,8.0,0,median,8.0,
3LDK,10-15y,49,41.38775510204081,22.0,0,median,22.0,
3LDK,15-20y,35,26.82857142857143,9.0,6|9,median,9.0,
3LDK,20-25y,75,30.293333333333333,13.0,0|6|13,median,13.0,
3LDK,25-30y,133,38.330827067669176,23.0,0,median,23.0,
3LDK,30-35y,182,39.642857142857146,16.0,0,median,16.0,
3LDK,35-40y,61,33.295081967213115,20.0,6,median,20.0,
3LDK,40-45y,17,53.23529411764706,41.0,76,median,41.0,
3LDK,45-50y,5,48.8,5.0,0,median,5.0,
3LDK,50-55y,9,16.555555555555557,15.0,1|3|5|11|15|18|21|31|44,median,15.0,
3LDK,65-70y,3,4.333333333333333,1.0,0|1|12,median,1.0,
3SDK,20-25y,5,29.2,34.0,1|22|34|38|51,median,34.0,
3SDK,25-30y,4,12.5,4.0,3,median,4.0,
3SDK,30-35y,3,20.333333333333332,7.0,6|7|48,median,7.0,
3SDK,35-40y,4,63.25,71.5,12|48|95|98,median,71.5,
3SLDK,0-5y,1,103.0,103.0,103,median,103.0,
3SLDK,5-10y,9,82.66666666666667,80.0,16|18|22|45|80|117|125|127|194,median,80.0,
3SLDK,10-15y,5,54.2,52.0,13|23|52|90|93,median,52.0,
3SLDK,20-25y,7,15.142857142857142,12.0,1|8|10|12|19|27|29,median,12.0,
3SLDK,25-30y,3,25.0,21.0,13|21|41,median,21.0,
3SLDK,30-35y,7,13.142857142857142,6.0,6,median,6.0,
3SLDK,45-50y,1,54.0,54.0,54,median,54.0,
4DK,10-15y,4,57.75,65.5,6|59|72|94,median,65.5,
4DK,20-25y,5,78.6,92.0,15|18|92|100|168,median,92.0,
4DK,25-30y,13,104.61538461538461,72.0,71,median,72.0,
4DK,30-35y,38,58.73684210526316,33.5,11,median,33.5,
4DK,35-40y,8,37.375,32.0,0|10|25|26|38|42|70|88,median,32.0,
4DK,40-45y,2,26.0,26.0,8|44,median,26.0,
4DK,45-50y,2,64.0,64.0,6|122,median,64.0,
4K,40-45y,1,23.0,23.0,23,median,23.0,
4LDK,0-5y,12,28.666666666666668,13.5,12|13,median,13.5,
4LDK,5-10y,33,54.121212121212125,34.0,0,median,34.0,
4LDK,10-15y,1,51.0,51.0,51,median,51.0,
4LDK,15-20y,20,46.85,40.5,0|38|44,median,40.5,
4LDK,20-25y,16,30.1875,20.0,3,median,20.0,
4LDK,25-30y,15,24.6,13.0,4,median,13.0,
4LDK,30-35y,16,42.9375,25.5,89,median,25.5,
4LDK,35-40y,7,113.0,21.0,0|6|19|21|137|206|402,median,21.0,
4LDK,40-45y,2,117.5,117.5,62|173,median,117.5,
4LDK,45-50y,1,53.0,53.0,53,median,53.0,
4SDK,25-30y,2,3.5,3.5,3|4,median,3.5,
4SDK,30-35y,3,65.33333333333333,89.0,12|89|95,median,89.0,
4SLDK,5-10y,1,3.0,3.0,3,median,3.0,
4SLDK,15-20y,1,5.0,5.0,5,median,5.0,
4SLDK,20-25y,2,4.5,4.5,4|5,median,4.5,
4SLDK,25-30y,1,74.0,74.0,74,median,74.0,
4SLDK,40-45y,1,75.0,75.0,75,median,75.0,
5DK,25-30y,2,19.0,19.0,18|20,median,19.0,
5DK,35-40y,1,13.0,13.0,13,median,13.0,
5DK,40-45y,6,59.0,65.5,6|18|63|68|70|129,median,65.5,
5DK,50-55y,1,73.0,73.0,73,median,73.0,
5LDK,35-40y,2,74.5,74.5,72|77,median,74.5,
5LDK,45-50y,3,18.666666666666668,14.0,6|14|36,median,14.0,
5LDK,55-60y,1,20.0,20.0,20,median,20.0,
5LDK,65-70y,1,269.0,269.0,269,median,269.0,
5SDK,45-50y,1,15.0,15.0,15,median,15.0,
5SLDK,0-5y,1,16.0,16.0,16,median,16.0,
5SLDK,25-30y,1,19.0,19.0,19,median,19.0,
6DK,40-45y,1,18.0,18.0,18,median,18.0,
6DK,50-55y,1,184.0,184.0,184,median,184.0,
6K,55-60y,1,62.0,62.0,62,median,62.0,
6LDK,40-45y,1,3.0,3.0,3,median,3.0,
6SDK,35-40y,1,38.0,38.0,38,median,38.0,
6SDK,50-55y,1,49.0,49.0,49,median,49.0,
6SLDK,20-25y,1,446.0,446.0,446,median,446.0,
6SLDK,25-30y,1,5.0,5.0,5,median,5.0,
